collective,num_nodes,num_gpus,size_bytes,algo,proto,nchannels,requested_algo,requested_proto,substituted,time_ip_us,busbw_ip,time_oop_us,busbw_oop,n_repeats,spread_pct,count,data_type,redop,algbw_ip,algbw_oop,errors_ip,errors_oop
all_reduce_perf,1,8,32768,RING,SIMPLE,1,RING,SIMPLE,0,16.23,1.31,6.52,1.32,3,30.991990141712872,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,SIMPLE,2,RING,SIMPLE,0,11.29,1.27,6.03,1.28,3,58.45881310894598,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,SIMPLE,4,RING,SIMPLE,0,7.91,1.2,5.88,1.2,3,188.36915297092287,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,SIMPLE,8,RING,SIMPLE,0,7.02,1.21,6.04,1.2,3,4.5584045584045505,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,SIMPLE,16,RING,SIMPLE,0,14.31,1.19,6.25,1.19,3,44.514325646401126,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,SIMPLE,24,RING,SIMPLE,0,13.52,1.2,6.01,1.2,3,69.896449704142,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,SIMPLE,32,RING,SIMPLE,0,14.23,1.2,5.99,1.19,3,51.86226282501757,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,SIMPLE,40,RING,SIMPLE,0,8.29,1.21,6.11,1.21,3,158.86610373944512,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,SIMPLE,48,RING,SIMPLE,0,9.82,1.21,6.02,1.17,3,54.48065173116089,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,SIMPLE,56,RING,SIMPLE,0,18.8,1.21,5.85,1.21,3,82.81914893617021,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,TREE,LL,1,TREE,LL,0,15.67,1.19,5.66,1.21,3,97.06445437141035,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,TREE,LL,2,TREE,LL,0,16.38,1.56,6.01,1.61,3,41.51404151404152,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,TREE,LL,2,,,0,14.63,1.57,5.9,1.58,3,23.308270676691727,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,TREE,LL,4,TREE,LL,0,13.43,1.85,5.99,1.91,3,81.45941921072227,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,TREE,LL,8,TREE,LL,0,13.41,2.09,5.95,2.16,3,76.80835197613722,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,TREE,LL,16,TREE,LL,0,17.22,2.26,6.13,2.39,3,21.95121951219512,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,TREE,LL,24,TREE,LL,0,16.74,2.18,6.37,2.36,3,31.063321385902032,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,TREE,LL,32,TREE,LL,0,11.78,2.22,6.54,2.33,3,105.60271646859083,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,TREE,LL,40,TREE,LL,0,14.93,2.15,6.49,2.35,3,76.02143335565974,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,TREE,LL,48,TREE,LL,0,18.74,2.22,6.48,2.36,3,49.573105656350066,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,TREE,LL,56,TREE,LL,0,10.2,2.28,6.43,2.34,3,84.2156862745098,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,LL,1,RING,LL,0,16.88,2.13,5.76,2.11,3,65.8175355450237,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,LL,2,RING,LL,0,15.19,2.8,5.75,3.06,3,27.320605661619478,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,LL,4,RING,LL,0,15.17,3.43,5.92,3.93,3,94.00131839156228,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,LL,8,RING,LL,0,18.85,3.35,5.98,3.98,3,64.61538461538461,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,LL,16,RING,LL,0,17.91,3.53,6.01,4.05,3,87.26968174204355,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,LL,24,RING,LL,0,18.61,3.38,6.02,3.99,3,12.627619559376688,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,LL,32,RING,LL,0,17.12,3.55,6.34,4.07,3,6.425233644859821,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,LL,40,RING,LL,0,14.07,3.61,6.5,4.0,3,12.437810945273633,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,LL,48,RING,LL,0,11.12,3.69,6.26,4.01,3,65.82733812949641,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,LL,56,RING,LL,0,17.24,3.4,6.45,4.04,3,71.28770301624131,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,SIMPLE,1,RING,SIMPLE,0,16.45,2.51,6.18,2.49,3,28.996960486322187,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,SIMPLE,2,RING,SIMPLE,0,9.45,2.62,5.62,2.54,3,26.560846560846564,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,SIMPLE,4,RING,SIMPLE,0,10.58,2.55,5.91,2.47,3,110.68052930056712,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,SIMPLE,8,RING,SIMPLE,0,10.71,2.44,5.86,2.37,3,73.29598506069094,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,RING,SIMPLE,16,RING,SIMPLE,0,12.65,2.45,5.79,2.38,3,88.3794466403162,1024,float,sum,0.09,0.08,0,0
